,prompt,completion
114,"“Quick, everyone, look for the poster for Cats! I wanna see Cats!” said Khalil.
“I don’t think that’s playing anymore,” said Dwight, trying to get a look at the scenery while Khalil hogged the window.
“Whaaaaaaaat? I finally get to New York, and there’s no", Cats
115,"They had not watched him pass through the check-in desks or passport control, so had only assumed that he had caught the flight to Moscow. But there was no record of him arriving at Moscow’s Domodedovo Airport, or for that matter, at any of the others which served the City. 
They were the facts. Makienko could be anywhere. Still in London perhaps, or anywhere else. The only certainty was that he was not in", Moscow
116,"Amber got out of the car and met Olivia half way down the walk.  The girls hugged and climbed back into the car.
Amber drove to Charlie’s Place and the girls ordered their favorites from times past.
“Wow, this really takes me back,” Olivia said.
“Yeah, I know,” replied", Amber
117,"“Detective Reiss was the detective in charge of the case,” said Greg, “He has been a detective for over twenty years.  Why would he make such a rookie mistake of touching the body without gloves?  He had to have known that such a move would make any DNA evidence found inadmissible in court.”
“We all make mistakes sometimes,” said Jackie.
“I don’t think so,” said", Greg
118,"I went down the stairwell, but the smoke was too thick, so I went back up and into the far office where I must have finally passed out. What is your name?”
“Gabriel.”
“Just like the angel,” she smiles. “Thank you for getting me out of there,", Gabriel
119,"It had many unusual qualities which may or may not become apparent soon, but currently there was only one that set it apart from any other brassbound chest. It was snoring, with a sound like someone very slowly sawing a log.

The Luggage might be magical. It might be terrible. But in its enigmatic soul it was kin to every other piece of luggage throughout the multiverse, and preferred to spend its winters hibernating on top of a", wardrobe
120,"Their food came out then.  Hot, covered dishes were placed before them, Robert first and then Sarah.  The waiter removed the covers from the dishes, wished them both ‘Bon Appetit’ and left again. They ate in comfortable silence, occasionally taking sips of the delectable wine.
“There’s something to be said for fine dining, isn’t there,", Sarah
121,"Mum is staring at him in shock, and Dad is grinning. I look back at Bing.

""What?"" my brother snaps.

""Nothing,"" I reply, turning to my dinner.

""You're lying.""

""Why would I be lying?""

""What is it?""

""It was just a kind of random outburst, even for you,", Bing
122,"Within five minutes, I'd lost the vampire.

I was alone. In the dark. Underground.

I shivered, then reminded myself why I was there and what was at stake. I looked around for a larger tunnel, feeling my way with my fingers.

""Evra,"" I called softly. I cleared my throat and this time yelled,"," ""Evra"
123,"“For the infected. And the other things. And the black clouds. That's what got us. They hunted us down. It’s the only way to describe it. I wonder if the swarms got the rest of the convoy before they made it back.”
“So you were part of the", convoy
124,"They knew that a bunch of bikers showing up in class like that was not a good thing.  I hung just outside the door to listen.
“What do you want,” demanded Vincent.
Tiny moved dangerously close to the professor.  He leaned in letting his bulk intimidate the man.  “I know about you and your lust for young women,” said", Tiny
125,"Looking ahead, he squinted through the raindrops at the now indistinct outline of the deck of the freighter.  Her bow and stern were invisible to him, having melted into the darkness and murk of the rain.  Small, portable lanterns, likely having been set out by the crew when they docked the ship, lighted her deck, however.  LePage stared for a span of more than thirty seconds and saw no movement in the spare light of the over-matched", lanterns
126,"Isn’t it a most excellent law, my dear Sycko? Just imagine! How could we live together if we were allowed to tell lies? But again the Lord in His wisdom has provided.”
“But I may lie if I’m protecting Dryvellism? Wasn’t that a bit like the weeping Diana?”
“I’m glad you mention it,", Sycko
127,"I told him we thought highly of his plays and still put them on the boards. In fact, I said we thought they were the greatest pieces of literature in the English language, maybe in any language.""

""Good. Good,"" said Robertson breathlessly.

""I said people had written volumes of commentaries on his", plays
128,"My heart was still racing. ""And what's this?"" I pointed toward the gold bracelet. It had three big rubies on it. It was really ugly.

He nodded, knowing he couldn't lie to me. ""Yeah, I've been following you. And that will protect you,"" he gestured toward the", bracelet
129,"The rise of the Orchid Districts and the Immari master plan. David took it in. It was truly a nightmare scenario.

""They bring the survivors here,"" David said. ""What do they do with them?""

""They separate the strong from the weak.""

""What do they do with the", weak
130,"Gotta run.""

DECK HAS A CLIENT in his office when I return. She's a middle-aged woman, heavyset, nicely dressed. He waves at me as I walk by his door. He introduces me to Mrs. Madge Dresser, who wants- a divorce. She's been crying, and as I lean on the desk next to Deck he slides me a note on a legal pad: ""She has", money
131,"You and JT were-"" He broke off when someone shouted his name from topside, the word echoing along the stone tunnel that led down to the sacred chamber.

""What?"" he bellowed back, setting up a reverb that made Natalie wince.

""We could use you up here,"" Aaron called.

Natalie breathed a sigh of relief at the interruption. There was no point in talking about her and", JT
132,"""I'm so excited to take both you girls with me,"" he said, glancing in the rear view mirror at Helen who sat in the back seat in her suede fringed outfit.  ""You do look authentic!  A real frontier character,"" he said with pride.
""With a lot of safety pins,"" added", Helen
